club_name,end_of_spell
ONS Sneek,1985-06-30
Fortuna Sittard,2022-06-30
Feyenoord,2018-06-30
Kasimpasa,2015-04-14
FC Utrecht,2014-06-30
PSV Eindhoven,2009-06-30
PSV Eindhoven,2007-12-31
Rangers,2006-06-30
Ajax,2000-03-21
FC Utrecht,1997-12-31
Ajax,1989-06-30
Ajax U19,1988-06-30
Twente FC,1983-06-30
Club Brugge,1981-10-12
Go Ahead Eagles,1981-06-30
FC Twente,1979-09-27
FC Volendam,1986-06-30
Ajax,1974-06-30
MVV,1985-06-30
Wattens-Wacker,1985-04-23
RWD Molenbeek,1982-06-30
Waterschei THOR,1981-06-30
Ajax,1979-09-08
Sparta R.,1978-06-30
Fortuna SC,1976-01-05
Vitesse,1972-06-30
Ajax,1969-06-30
DS'79,1980-12-16
Ajax,1975-08-31
RCH,1970-04-24
RCH,1969-10-11
PSV Eindhoven,1987-03-15
Feyenoord,1983-06-30
FC Den Haag,1980-10-05
Sparta R.,1980-06-30
AZ '67,1977-11-26
AZ '67,1977-06-30
Ajax,1975-08-12
Elinkwijk,1973-06-30
Benschop,1970-06-30
DFC,1969-06-30
Seiko,1985-06-30
Willem II,1982-08-12
MVV,1982-04-13
Seiko,1981-06-30
VAC Beerschot,1980-10-23
Beerschot VAV,1979-06-30
MVV,1978-06-30
Ajax,1974-04-12
MVV,1973-06-30
Baronie,1969-06-30
Pittsburgh Ph.,1967-09-30
Vitesse,1966-06-30
Ajax,1963-06-30
DOS,1962-07-01
DWS/A,1961-07-01
DOS,1959-06-30
Vitesse,1957-06-30
Landskrona,1980-12-31
APOEL Nicosia,1978-06-30
AIK,1975-12-31
Lierse SK,1970-12-31
KV Mechelen,1970-06-30
AGOVV,1967-06-30
Blauw-Wit,1966-06-30
Heracles,1964-06-30
Blauw-Wit,1963-06-30
Ajax,1962-06-30
Royal Antwerp,1964-02-23
DFC,1961-03-06
Ajax,1959-05-30
Olymp. Charleroi,1954-06-30
SC Ortmann,1952-06-30
SV Rapid Lienz,1947-06-30
Ajax,1954-06-30
Ajax,1950-06-30
Ajax,1953-03-01
Ajax,1950-10-31
Ajax,1947-10-10
Ajax,1940-06-24
Blauw-Wit,1928-06-30
Ajax,1925-06-30
FC St. Gallen,1914-06-30
Ajax,1948-06-30
Ajax,1945-10-31
Ajax,1942-06-30
AC Bellinzona,1956-06-30
Holland Sport,1955-06-30
Ajax,1941-06-30
Ajax,1940-06-30
Heerenveen,1938-06-30
Heerenveen,1932-06-30
Ajax,1928-06-30
Ajax,1926-12-28
AZ Alkmaar,2025-06-30
AZ Alkmaar,2020-12-04
PSV Eindhoven,2018-06-30
PSV U21,2017-06-30
PSV U19,2015-06-30
Sparta R.,2013-04-02
Sparta R.,2012-06-30
Al-Wahda FC,2000-06-30
Al-Jazeera Club,1999-06-30
Haarlem,1998-06-30
Feyenoord,2026-06-30
AZ Alkmaar,2020-12-05
AZ Alkmaar,2019-06-30
SC Cambuur,2017-06-30
SC Cambuur,2016-10-15
PEC Youth,2014-06-30
Lech Poznan,2024-06-30
Al-Taawoun,2022-05-07
KRC Genk,2021-12-05
FC Utrecht,2020-11-07
RSC Anderlecht,2014-04-09
Vitesse,2012-06-30
ADO Den Haag,2011-06-29
AGOVV,2010-06-30
Ajax,2007-06-30
Ajax U21,2006-06-30
VV Bennekom,2004-04-01
SC Cambuur,2022-06-30
KRC Genk,2021-10-25
PSV U21,2019-06-30
AZ Alkmaar,2017-06-30
AZ Alkmaar,2014-10-16
AZ Alkmaar,2013-10-16
AZ Alkmaar U21,2014-06-30
AZ Alkmaar,2014-08-28
AZ Alkmaar U19,2011-06-30
AZ Alkmaar Yout,2009-06-30
Almere City,2024-06-30
SCR Altach,2021-02-23
Sparta R.,2017-12-17
AZ Alkmaar,2014-09-17
Slavia Prague,2014-06-30
NEC Nijmegen,2013-08-19
Excelsior,2011-06-30
Feyenoord U21,2009-06-30
Fenerbahce U21,2006-06-30
AFC '34,2005-06-30
AZ Alkmaar U19,2001-11-27
RKVV Velsen,2020-06-30
AZ Alkmaar U21,2018-06-30
AZ Alkmaar,2018-06-30
AZ Alkmaar,2009-12-10
BSV Bad Bleiberg,2000-06-30
BSV Bad Bleiberg,2000-02-28
AZ Alkmaar,1997-06-30
Sparta R.,2021-12-07
Zenit S-Pb,2016-06-30
Zenit S-Pb,2014-12-29
Shakhtar D.,2008-06-30
AZ Alkmaar,2002-10-30
Feyenoord,2000-06-30
VVV,1998-06-30
Sparta R.,1996-06-30
Kayserispor,2012-10-12
Kayserispor,2011-06-30
Panathinaikos,2009-09-01
Sharjah FC,2008-05-01
Apol. Limassol,2007-03-21
Ajax U21,2003-06-30
Oita Trinita,2002-06-30
AZ Alkmaar,2000-03-30
Barcelona,1999-06-30
Ajax,1992-06-30
Ajax U19,1992-06-30
Haarlem,1990-06-30
AZ Alkmaar U21,1986-06-30
AZ '67,1985-06-30
FC Utrecht,2008-12-23
Sparta R.,2001-06-30
AZ Alkmaar,1999-06-30
Al-Hilal,1996-05-01
Feyenoord,1995-10-02
DOS '01,1992-06-30
FC Wageningen,1991-06-30
FC Utrecht,1989-06-30
VVV-Venlo,2021-03-16
FC Volendam,2019-06-30
RKC Waalwijk,2018-06-30
Go Ahead Eagles,2017-03-22
FC Volendam,2015-06-30
Helmond Sport,2012-06-30
AGOVV,2011-06-30
TOP Oss,2010-06-30
FC Dordrecht,2005-06-30
Fortuna Sittard,2004-06-30
Fortuna Sittard,2000-12-06
Fortuna Sittard,2001-12-14
AZ Alkmaar,2000-06-30
AZ Alkmaar,1997-01-31
Twente FC,1996-06-30
FC Zwolle,1996-06-30
AZ Alkmaar,1995-06-30
AZ Alkmaar,1994-06-30
TOP,1993-06-30
FC Utrecht,1991-06-30
Twente FC,1990-06-30
FC Wageningen,1989-06-30
PEC Zwolle '82,1987-06-30
PSM Makassar,2006-11-30
Arema,2002-11-30
Persikota,2002-11-30
PSM Makassar,2001-03-28
Bandung Raya,1996-06-30
FC Den Haag,1995-06-30
AZ Alkmaar,1993-06-30
Al-Nahdah FC,1990-06-30
Excelsior,1989-06-30
Go Ahead Eagles,1985-06-30
Vitesse,1982-06-30
NAC,1974-11-28
Willem II,1973-05-02
Blauw-Wit,1971-06-30
DWV,1968-06-30
Unitas,1967-06-30
De Graafschap,1999-02-24
Haarlem,1995-06-30
Haarlem,1992-06-30
Sparta R.,1991-06-30
AZ Alkmaar,1990-06-30
Fortuna Sittard,1989-02-21
Haarlem,1987-06-30
AZ '67,1980-06-30
Haarlem,1975-06-30
KIC,1972-06-30
Haarlem,2000-06-30
Roda JC,1989-06-30
AZ '67,1984-11-25
AZ '67,1983-06-30
Sparta R.,1982-06-30
Dordrecht'90,1980-06-30
Sydney FC,2018-06-30
De Graafschap,2008-12-31
Oita Trinita,2005-01-31
FC Utrecht,2003-12-31
Cambuur L.,1998-06-30
Sparta R.,1995-06-30
 SVV/Dordrecht,1993-06-30
Fortuna Sittard,1991-10-31
Fortuna Sittard,1987-06-30
AZ Alkmaar,1986-12-31
FC Groningen,1986-06-30
FC Utrecht,1983-06-30
FC Utrecht,1976-01-21
Vitesse,2003-01-30
Sparta R.,1997-06-30
AZ '67,1986-06-30
Telstar,1983-06-30
Go Ahead Eagles,1980-02-17
AZ '67,1976-06-30
Haarlem,1973-06-30
DWS,1971-06-30
Chelsea,2022-06-30
PSV Eindhoven,2005-06-30
NAC Breda,1992-12-31
Willem II,1991-10-01
Roda JC,1983-06-30
FC Den Haag,1980-06-30
RWD Molenbeek,1977-11-30
NEC,1976-06-30
De Graafschap,1974-06-30
DFC,1971-06-30
Telstar,1969-06-30
DFC,1966-06-30
AFC Amsterdam,1978-06-30
AZ '67,1971-06-30
AZ '67,1970-05-05
AZ '67,1971-05-06
AZ '67,1969-06-16
NEC,1971-06-30
Alkmaar/Zaanstr.,1969-06-10
PSV Eindhoven,1968-05-09
Alkmaar/Zaanstr.,1967-12-23
FC Zaanstreek,1966-06-30
PEC,1966-06-30
EDO,1965-06-30
Leeuwarden,1964-06-30
Hermes-DVS,1962-06-30
Helmond,1960-06-30
KFC,1958-06-30
Eindhoven,1972-06-30
RCH,1970-06-30
DWS,1969-12-16
Alkmaar/Zaanstr.,1968-05-08
Heracles,1967-06-30
DWS,1966-06-30
Be Quick,1962-06-30
RCH,1961-06-30
SC Cambuur,2024-06-30
Fortuna Sittard,2022-08-22
Fortuna Sittard,2020-12-02
Fortuna Sittard,2020-11-11
Fortuna Sittard,2020-06-30
Helmond Sport,2019-06-30
Twente FC,2018-06-30
FC Twente U17,2017-06-30
FC Utrecht,2016-06-30
SC Cambuur,2022-11-27
SC Cambuur,2022-03-28
SC Cambuur,2023-06-30
IJsselm.vogels,2017-08-26
IJsselm.vogels,2019-08-31
SC Cambuur,2022-10-21
De Graafschap,2019-06-30
FC Groningen,2016-12-31
SC Cambuur,2016-02-09
SC Cambuur,2014-04-01
SC Cambuur,2013-06-30
SC Cambuur,2013-03-22
Harkemase Boys,2010-12-31
FC Groning. U21,2007-06-30
FC Groningen,2007-06-30
Sneek,2005-06-30
Heracles Almelo,2000-06-30
Sneek,1999-06-30
Drachtster Boys,1997-06-30
Go Ahead Eagles,2025-06-30
FC Utrecht,2022-03-22
FC Utrecht,2020-12-31
Utrecht U21,2020-11-07
SC Cambuur,2019-06-30
Twente FC,2017-10-18
PEC Zwolle,2015-06-30
FC Emmen,2012-06-30
FC Twente U21,2010-10-17
FC Twente U19,2009-06-30
Emmen U19,2005-06-30
SC Cambuur U21,2020-06-30
SC Cambuur,2018-01-30
VV Bergum,2019-06-30
SC Cambuur,2011-06-30
Cambuur L.,2009-06-30
SC Cambuur Yth.,2011-06-30
Feyenoord,2024-06-30
Feyenoord U21,2022-06-30
FC Volendam,2021-06-30
SC Cambuur,2016-02-15
Al-Arabi SC,2015-07-11
Cambuur U19,2010-06-30
Groningen Yth.,2007-06-30
SC Cambuur Yth.,2005-06-30
Groningen Yth.,2003-06-30
SC Cambuur Yth.,2002-06-30
Maccabi Haifa,2018-11-08
RKC U21,2014-05-19
RKC Waalwijk,2014-05-19
Heerenveen,2023-02-01
VVOG,2023-02-01
VVOP,2022-04-05
PEC Zwolle,2021-11-16
PEC Zwolle,2018-06-30
Heerenveen,2015-09-30
VVOG,2013-06-30
JEF Utd. Chiba,2011-10-21
FC Edmonton,2010-12-04
NEC Nijmegen,2009-10-27
PSV U19,2007-12-31
Nagoya Grampus,2007-06-30
Al-Jazira,2005-06-30
Heerenveen,2004-06-30
FC Groningen,2002-10-21
FC Zwolle,2001-06-30
VVOG,1998-12-28
Go Ahead Eagles,1995-06-30
Groningen U21,2019-06-30
Lierse SK,2014-08-31
FC Groningen,2014-06-30
Cambuur L.,2010-10-27
BJ Guoan,2023-06-11
BJ Guoan,2020-11-29
BJ Guoan Res.,2020-11-27
Ajax Cape Town,2017-12-21
Ajax Cape Town,2016-10-27
AFC Amsterdam,2015-06-30
VIT/AGOVV U19,2013-06-30
FC Volendam,2008-06-30
AGOVV,2006-06-30
AGOVV,2003-06-30
FC Groningen,2019-01-28
Cambuur L.,2008-09-14
MVV Maastricht,2007-02-19
FC Dordrecht,2006-06-30
AGOVV,2005-06-30
Emmen,2003-06-30
De Graafschap,2002-05-20
De Graafschap,2000-12-19
De Graafschap,1999-06-30
De Graafschap,2001-06-30
IJsselm.vogels,2009-12-22
Utrecht U21,2007-12-31
Without Club,2007-07-06
Cambuur L.,2007-02-19
Haarlem,2005-06-30
SV Huizen,2003-06-30
ADO '20,2000-06-30
Haarlem U19,1996-06-30
FVC,2019-03-30
VVOG,2013-11-19
SC Veendam,2013-04-02
Flevo Boys,2012-06-30
SV Urk,2012-03-16
FC Omniworld,2007-06-30
Cambuur L.,2005-06-30
Cambuur L.,2004-12-30
SC Veendam,1997-06-30
Almere City,2013-01-28
Almere City,2012-09-27
FC Saint Eloi ,2011-02-28
Hellas Sport,2010-06-30
Spakenburg,2009-06-30
Vitesse,2007-06-30
AFC '34,2006-06-30
Cambuur L.,2004-12-31
FC Utrecht,2003-06-01
FC Volendam,1998-11-30
FC Volendam,1997-06-30
AFC '34,1996-06-30
VV Nunspeet,2014-06-30
DOVO,2012-06-30
AS Trencin,2008-06-30
DOVO,2007-06-30
Sligo Rovers,2007-06-30
VVOG,2004-05-30
Cambuur L.,2003-06-30
De Graafschap,2000-11-20
PEC Zwolle U21,1997-06-30
FC Zwolle,1995-06-30
Zaglebie Lubin,2021-06-30
FC Utrecht,2018-06-30
FC Dordrecht,2011-06-30
Sparta Nijkerk,2010-06-30
Katwijk,2007-05-10
DOVO,2005-06-30
Cambuur L.,2002-06-30
Cambuur L.,2002-05-18
Telstar,1999-06-30
Montfoort S.V. ,2023-06-30
De Treffers,2022-06-30
DHSC Utrecht,2021-06-30
IJsselm.vogels,2020-06-30
DOVO,2019-11-18
Magreb '90,2016-06-30
Sparta R.,2014-11-29
IJsselm.vogels,2013-12-31
FC Dordrecht,2013-02-21
FC Volendam,2012-03-06
FC Dordrecht,2010-06-30
De Graafschap,2005-10-10
FC Den Bosch,2004-06-30
Harkemase Boys,2007-06-30
PSM Makassar,2006-06-30
Heracles Almelo,2001-06-30
De Graafschap,1998-12-14
Istanbulspor,1995-10-26
Cambuur L.,1995-02-10
FC Volendam,1993-10-24
Heerenveen,1992-06-30
SC Cambuur,1988-06-30
Twente FC,1986-06-30
FC Volendam,1983-06-30
PEC Zwolle,1982-06-30
Wageningen,1977-06-30
FC Utrecht,1973-06-30
Elinkwijk,1970-06-30
OTP,2020-12-31
Willem II,2011-03-18
Willem II,2010-05-17
TJ Teda,2010-04-26
Steel Azin,2007-12-01
Willem II,1996-06-30
Willem II,1995-03-22
Cambuur L.,1993-10-18
PEC Zwolle '82,1992-06-30
FC Den Bosch,1989-06-30
Sparta R.,2011-02-24
Excelsior,1995-06-30
Twente FC,1994-06-30
Cambuur L.,1992-06-30
Sparta R.,1990-06-30
Roda JC,1987-10-18
FC Den Haag,1986-06-30
FC VVV,1978-06-30
ADO,1972-06-30
Fortuna Vl.,1966-06-30
RBC Roosendaal,2010-07-26
MTK Hungária,2002-06-30
NAC Breda,2006-06-30
KFC Verbr. Geel,2000-06-30
RBC Roosendaal,2001-12-31
MTK Hungária,2000-02-14
FC Den Haag,1998-06-30
MTK Hungária,1994-06-30
Eindhoven,1994-02-08
Excelsior,1992-06-30
SC Cambuur,1990-06-30
NEC Nijmegen,1987-06-30
De Graafschap,1985-06-30
KSV Waregem,1983-06-30
SVV,1981-06-30
Barendrecht,1980-06-30
Xerxes,1978-06-30
Unitas,1977-06-30
RFC,1974-06-30
Quick DH,1971-06-30
ADO '20,2009-10-28
FC Breukelen,2008-06-30
FC Türkiyemspor,2007-06-30
Telstar,2001-06-30
Spakenburg,1999-06-30
FC Utrecht,1995-11-30
Telstar,1995-06-30
De Graafschap,1993-06-30
DS'79,1989-06-30
SC Cambuur,1986-06-30
DS'79,1985-06-30
FC Volendam,1984-06-30
ZFC,1971-06-30
EDO,1970-04-15
FC Den Haag,1996-06-30
SC Veendam,1993-06-30
Eindhoven,1988-12-21
Emmen,1988-06-30
SC Cambuur,1985-02-20
FC Groningen,1983-06-30
Full Speed,1972-06-30
NAC,1984-03-23
SC Cambuur,1983-06-30
Willem II,1980-06-30
PSV Eindhoven,1978-06-30
Willem II,1971-06-30
Willem II,1971-04-30
FC Utrecht,2008-06-30
FC Utrecht,1996-01-17
FC Utrecht,1997-06-30
FC Den Haag,1993-06-30
FC Utrecht,1987-06-30
SC Veendam,1984-06-30
SVV,1983-06-30
FC Wageningen,1982-06-30
SC Cambuur,1980-06-30
FC Den Bosch,1976-06-30
vv Heerenveen,1989-06-30
DIO Oosterwolde,1986-06-30
Rood Geel,1984-06-30
Drachten,1982-06-30
Emmen,1980-06-30
Rijnsburgse B.,1978-06-30
CEC,1977-06-30
SC Cambuur,1976-06-30
Heerenveen,1973-06-30
Heerenveen U19,1971-06-30
Nieuweschoot,1970-06-30
ACV Assen,1984-08-15
VV Roden,1982-06-30
VV Hoogezand,1977-06-30
SC Cambuur,1972-06-30
Be Quick,1971-06-30
SC Cambuur,1971-11-24
Enschedese Boys,1978-06-30
Excelsior '31,1974-06-30
SC Cambuur,1971-10-04
Zwolsche Boys,1969-06-30
SC Drente,1968-06-30
Emmen,1966-06-30
Be Quick,1964-06-30
Zwartemeer,1964-02-01
SC Cambuur,1968-11-30
SVV,1972-03-02
SC Cambuur,1970-06-30
Ringwood City,1968-06-30
SC Cambuur,1966-06-30
DFC,1964-06-30
Xerxes,1962-06-30
Friesland,1984-06-30
Leeuwarden,1973-06-30
Leeuwarden,1972-06-30
Friesland,1971-06-30
SC Cambuur,1968-06-30
Friesland,1968-06-30
SC Cambuur,1967-06-30
SVV,1989-06-30
VV Alblasserdam,1983-06-30
PPSC,1979-06-30
Spartaan '20,1976-06-30
RIOS,1975-06-30
HION,1974-06-30
Fortuna Vl.,1972-04-25
SC Cambuur,1968-05-26
Tubantia,1966-06-30
KFC,1965-03-04
Alkmaar '54,1962-06-30
Feijenoord,1959-06-30
Feijenoord,1959-02-03
Emma,1957-06-30
DCL,1952-06-30
FC Den Bosch,2023-04-09
Den Bosch U21,2023-03-06
FC Den Bosch,2021-02-01
Den Bosch U18,2021-06-30
Den Bosch U19,2020-06-30
RKVV Emplina,2020-06-30
VOAB,2018-06-30
HVCH Heesch,2015-06-30
BMC,2013-06-30
Den Bosch U19,2013-06-30
Wilhelmina,2011-06-30
Engelen,2007-06-30
Den Bosch Yth.,2006-06-30
FC Den Bosch,2023-03-06
Go Ahead Eagles,2020-06-30
NEC Nijmegen,2019-04-02
Almere City,2018-06-30
OSV Amsterdam,2015-12-31
NEC U21,2015-12-31
NEC U19,2015-06-30
NEC Nijmegen,2014-06-30
Blauw-Wit,2013-08-27
Willem II,2013-06-30
NEC Nijmegen,2012-06-30
NEC U19,2010-06-30
NECOss U21,2011-06-30
NEC Nijmegen,2009-10-01
FC Den Bosch,2021-01-16
FC Den Bosch,2019-08-09
Den Bosch U21,2019-06-30
Den Bosch U19,2018-06-30
FC Den Bosch,2019-04-23
Den Bosch Yth.,2015-06-30
PSV U21,2023-08-03
Helmond Sport,2022-02-14
Lampang FC,2016-08-24
Chiangmai FC,2015-12-31
FC Oss,2015-05-04
Fortuna Sittard,2014-06-30
VVV-Venlo,2011-12-24
VVV-Venlo,2012-06-12
VVV-Venlo,2011-06-30
VVV-Venlo,2010-12-20
FC Eindhoven,2023-06-30
Den Bosch U21,2021-06-30
Den Bosch U19,2019-10-20
FC Den Bosch,2016-02-10
FC Den Bosch,2021-06-30
Antalyaspor,2023-06-30
ADO Den Haag,2019-12-02
Excelsior,2016-06-30
U Cluj,2015-03-02
Ajax U21,2014-06-30
Ajax U19,2013-06-30
FC Den Bosch,2012-06-30
Willem II,2010-02-19
Sparta R.,2005-06-30
Katwijk,2002-11-18
OH Leuven,2024-06-30
Sint-Truiden,2019-11-25
KFCO Beerschot,2018-05-21
Al-Raed,2015-04-01
Najran SC,2014-10-15
Al-Raed,2014-06-30
Al-Faisaly FC,2013-12-09
KV Mechelen,2012-06-30
FC Den Bosch,2010-06-30
FC Eindhoven,2009-06-30
Exc. Mouscron,2007-12-17
Germ. Beerschot,2007-06-30
KMSK Deinze,2006-06-30
Germ. Beerschot,2005-09-22
Berchem Sport,2003-07-01
Londerzeel,2001-06-30
FC Den Bosch,2017-01-01
FC Den Bosch,2016-06-30
FC Den Bosch,2009-06-30
FC Den Bosch,2009-01-05
FC Den Bosch,2014-06-30
FC Dordrecht,2012-07-14
FC Dordrecht,2012-01-07
Pol. Warsaw,2011-03-13
Vitesse,2010-10-21
FC Den Bosch,2009-01-03
Vitesse U21,2005-06-30
Vitesse,2004-06-30
FC Den Bosch,2020-07-29
FC Den Bosch,2019-06-30
BMC,2017-06-30
GDC,2012-06-30
Den Bosch U21,2011-08-12
Den Bosch U19,2007-06-30
FC Den Bosch,2005-06-30
Den Bosch U21,2005-06-30
Rijnsburgse B.,2023-06-30
Ter Leede,2019-06-30
Chiangrai Utd.,2013-09-16
FC Omniworld,2011-03-14
Fortuna Sittard,2008-12-15
Pyunik Yerevan,2006-12-31
FC Den Bosch,2005-03-05
FC Volendam,2004-01-29
Rijnsburgse B.,2000-06-30
Quick Boys,1997-06-30
Unknown,1994-06-30
Zeeburgia,1993-06-30
Zilvermeeuwen,1990-06-30
DWS,1987-06-30
Al-Orouba SC,2016-06-30
RKC Waalwijk,2015-02-11
Al-Nasr SC,2012-06-30
Sparta R.,2010-06-30
Roda JC,2009-06-30
Roda JC,2008-11-19
Roda JC,2008-10-06
SY Ginde,2007-06-30
SC Veendam,2002-06-30
AS Vita Club,2000-12-31
FC Den Bosch,2000-02-29
FC Groningen,1998-09-13
NEC Nijmegen,1997-06-30
Cambuur L.,1994-06-30
VV Kloetinge,2019-06-30
Willem II,2006-06-30
Sunderland,2004-05-28
Ajax,2003-06-30
NAC Breda,2000-06-30
FC Den Bosch,1998-09-02
VV Kloetinge,1996-06-30
KFC,2014-06-30
Fortuna Sittard,2006-06-30
Sparta R.,2003-06-30
RBC Roosendaal,2003-01-28
Feyenoord,1999-06-30
FC Den Bosch,1996-06-30
Fortuna Sittard,1994-06-30
Eindhoven,1992-06-30
Fortuna Sittard,1991-06-30
Azam FC,2019-02-20
Singida United,2018-06-02
Young Africans,2016-10-24
Young Africans,2014-06-30
Medeama,2013-10-24
Berekum Chelsea,2013-07-16
Heart of Lions,2011-09-20
Ashanti Gold,2005-10-05
Heart of Lions,2003-07-20
Goldfields SC,2002-06-30
Excelsior,1996-06-30
BVV,1995-06-30
Willem II,2000-06-30
Willem II,2001-06-30
Pakhtakor,1996-06-30
RKC Waalwijk,1993-12-18
 SVV/Dordrecht,1992-03-01
Dordrecht'90,1991-06-30
NAC,1990-03-31
RBC,1987-06-30
FC Den Bosch,1984-06-30
FC Den Bosch,1981-06-30
Ajax Cape Town,2004-06-30
Goldfields SC,2002-12-31
FC Utrecht,1995-06-30
FC Den Bosch,1979-06-30
Feyenoord,1976-06-30
Feyenoord,1973-06-30
Feyenoord,1973-04-29
JOS,1967-06-30
Telstar,1964-06-30
FC Den Bosch,1981-03-11
Eindhoven,1979-06-30
SVV,1973-06-30
Heracles,1972-06-30
SVV,1970-06-30
Fortuna Vl.,1964-06-30
VV Geldrop,1981-06-30
RKC Waalwijk,1980-06-30
FC Den Bosch,1974-01-24
NEC,1970-06-30
Baronie,1961-10-31
RCH,1971-06-30
FC Den Bosch,1970-06-30
BVV Den Bosch,1966-06-30
Tubantia,1965-06-30
Rapid JC,1962-06-30
AGOVV,1961-05-01
BVV,1960-09-27
Rangers,2022-11-21
GZ R&F,2020-12-03
Feyenoord,2019-06-30
Feyenoord U21,2013-06-30
FC Dordrecht,2026-06-30
Helmond Sport,2020-06-30
Go Ahead Eagles,2017-12-03
AEK Larnaca,2012-05-31
Feyenoord,2011-07-21
Feyenoord,2011-07-13
Feyenoord,2009-06-30
NAC Breda,2008-06-30
Eindhoven,2005-06-30
APOEL Nicosia,2017-07-28
KRC Genk,2014-02-24
NEC Nijmegen,2009-06-30
Excelsior,2006-06-30
Feyenoord U21,2005-06-30
Excelsior,1999-06-30
Excelsior U19,1997-06-30
Sparta U21,2015-06-30
SV Bolnes,2015-06-30
Sparta R.,2011-06-30
Sparta U21,2011-06-30
Strijen,2013-06-30
Hämeenlinna,2005-11-01
Strijen,2005-05-31
Feyenoord U21,2003-06-30
Feyenoord,1995-10-12
DCV Krimpen,1990-06-30
Hermes-DVS,1989-06-30
DCV Krimpen,1988-03-30
Strijen,1990-06-30
Strijen,1983-06-30
Homenetmen,2006-04-30
Urawa Reds,2004-01-01
Celtic,1998-05-30
Sanf. Hiroshima,1997-01-31
Feyenoord,1992-06-30
Feyenoord,1991-06-30
KSC Lokeren,1988-06-30
TOP Oss,1994-06-30
KAA Gent,1993-06-30
Feyenoord,1992-03-18
PSV Eindhoven,1991-06-30
Vitesse,1987-06-30
DS'79,1984-06-30
Excelsior,1982-06-30
FC Vlaardingen,1980-06-30
NAC,1979-06-30
De Graafschap,1977-06-30
Xerxes,1976-06-30
Hermes-DVS,1972-06-30
Sparta R.,2019-11-28
Sparta R.,2016-05-03
N. Antilles,2004-06-30
Kyoto P. Sanga,2003-12-31
Omiya Ardija,1999-12-31
Fortuna Sittard,1997-09-03
FC Groningen,1993-02-26
FC Wageningen,1992-06-30
Feyenoord,1989-12-08
De Graafschap,1989-06-30
Unitas,1987-06-30
ČSSR,1993-11-20
Sparta Praha,1991-06-30
ČSSR U20,1989-06-30
Sparta Praha,1988-06-30
FC Zürich,1986-06-30
Feyenoord,1982-06-30
ČSSR,1978-06-30
Spartak Praha,1969-06-30
Go Ahead Eagles,1977-06-30
Feyenoord,1975-05-14
NEC,1973-06-30
Sparta,1969-11-28
Roda JC,1966-06-30
SVN,1965-06-30
Excelsior,1975-06-30
NAC,1973-05-01
Feijenoord,1969-06-30
LASK,1972-06-30
Feijenoord,1967-06-30
DOS,1964-06-30
VVV,1960-06-30
Pro Patria,1981-06-30
KAA Gent,1978-06-30
AS Oostende KM,1976-06-30
Daring Club,1971-06-30
RSC Anderlecht,1968-12-31
Club Brugge,1968-06-30
RRC Brüssel,1967-06-30
Feijenoord,1964-06-30
Club Brugge,1963-06-30
Sturm Graz,1967-05-01
Hamborn 07,1966-06-30
Belenenses,1965-06-30
Blauw-Wit,1964-06-30
Feijenoord,1963-06-30
Blauw-Wit,1961-05-30
SHS,1960-06-30
SHS,1958-06-30
ADO,1953-06-30
AC Bellinzona,1976-09-20
Chaux-de-Fonds,1972-06-30
RSC Charleroi,1970-06-30
FC Biel-Bienne,1967-06-30
FC Basel,1965-06-30
Feijenoord,1961-06-30
Chaux-de-Fonds,1959-06-30
Chaux-de-Fonds,1951-06-30
Hajduk Split,1941-12-31
Willem II,1966-06-30
Heracles,1963-06-30
DOS,1961-06-30
Feijenoord,1958-06-30
SC Enschede,1956-06-30
DOS,1949-05-30
BVC Amsterdam,1956-06-30
Feijenoord,1955-06-30
Feijenoord,1950-06-30
Willem II,1946-06-30
Sparta,1944-06-30
Feijenoord,1940-06-30
VUC,1937-12-31
PSV Eindhoven,1935-06-30
Feijenoord,1929-06-30
NEC,1940-06-30
Willem II,1938-06-30
MVV,1934-06-30
Wageningen,1929-09-01
Be Quick,1929-04-30
GVAV,1928-06-30
Willem II,1926-06-30
Feijenoord,1922-06-30
Fortuna Sittard,2025-06-30
KV Mechelen,2022-10-17
FC Groningen,2022-06-30
Kozakken Boys,2018-06-30
Fortuna Sittard,2022-09-11
VVV-Venlo U17,2019-06-30
SV Someren,2021-06-30
VVV U19,2018-12-31
Roda JC U19,2016-06-30
RKSV Bekkerveld,2012-07-01
EVV Echt,2010-06-30
VVV-Venlo U21,2010-06-30
Willem II,2022-12-12
VfL Wolfsburg,2021-10-25
BSV Limburgia,2015-06-30
PSV Youth,2018-02-14
BSV Limburgia,2014-06-30
EVV Echt,2021-06-30
Fortuna Sittard,2019-06-30
BSV Limburgia,2018-06-30
Sittard,2017-06-30
Al-Jazira,2011-06-30
Roda JC,2010-06-30
Al-Jazira,2007-06-30
PSV U21,2004-06-30
Sittard U21,2001-06-30
Fortuna Sittard,1998-06-30
Vitesse Youth,1995-06-30
M. Tel Aviv U19,2023-06-30
Al-Wahda FC,2021-06-30
FC Dordrecht,2020-02-08
Marítimo,2018-11-26
Fortuna Sittard,2018-06-30
Nieuwerkerk,2017-06-30
Gravenzande,2015-06-30
Santa Clara,2014-10-27
Utrecht U17,2014-06-30
PSV U17,2013-06-30
Vitória Setúbal,2010-06-30
Sparta Youth,2009-06-30
Feyenoord Youth,2006-06-30
Sparta Youth,2004-06-30
Excelsior,2001-06-30
