club_name,end_of_spell
Hertha BSC,1992-08-20
Carl Zeiss Jena,1991-05-21
Carl Zeiss Jena,1978-06-30
Alem. Aachen,1999-05-11
Wuppertaler SV,1996-06-30
VfB Oldenburg,1993-06-30
E. Braunschweig,1992-10-10
Hertha BSC,1990-11-13
Saarbrücken,1988-10-12
Alem. Aachen,1987-06-30
Vorwärts Steyr,1999-06-30
CS Sfaxien,1997-06-30
TeBe Berlin,1996-06-30
VfB Stuttgart,1995-06-30
Sparta Prague,1995-03-27
VfB Leipzig,1994-04-09
Waldh. Mannheim,1993-08-31
VfB Leipzig,1993-06-30
Unterhaching,1991-01-07
Malatyaspor,1989-12-29
Hertha BSC,1988-10-08
Trabzonspor,1986-03-14
R. Strasbourg,1985-03-06
FC Schalke 04,1983-06-30
Stuttg. Kickers,1983-01-23
VfB Stuttgart,1982-06-30
Grasshoppers,1980-06-30
VfB Stuttgart,1979-06-30
Servette FC,1976-06-30
Servette FC,1975-06-30
Hertha BSC II,1990-06-30
Hertha BSC,1985-12-31
Hertha BSC,1985-11-10
Hertha BSC,1984-06-30
Hertha BSC,1984-05-25
Hertha BSC,1979-12-26
Hertha BSC,1974-07-16
Hertha BSC,1974-06-30
TSV Havelse,1993-06-30
SpVgg Bayreuth,1986-04-06
Hertha BSC,1985-12-03
Fortuna Köln,1983-06-30
Bonner SC,1977-04-09
Fortuna Köln,1975-01-17
Fortuna Köln,1973-06-30
SC Jülich 1910,1972-10-30
Hertha BSC,1983-12-10
Waldh. Mannheim,1980-01-22
Freiburger FC,1978-06-30
Wacker Berlin,1976-05-12
TeBe Berlin,1975-06-30
SV Südwest,1973-06-30
FC Zürich,1970-11-10
Fellows ZH,1969-06-30
Karlsruher SC,1968-02-08
Fellows ZH,1967-06-30
Hamburger SV,1966-04-17
FC Schalke 04,1964-04-25
Saarbrücken,2002-06-30
FC 08 Homburg,1994-03-27
BW Berlin,1991-09-01
Darmstadt 98,1990-04-07
1860 Munich,1988-06-30
FC 08 Homburg,1987-10-02
FC St. Gallen,1987-03-08
Saarbrücken,1986-04-11
Hertha BSC,1981-12-08
FC 08 Homburg,1980-06-30
1.FSV Mainz 05,1974-09-21
FC 08 Homburg,1974-06-30
Hapoel Haifa,1972-10-01
FC 08 Homburg,1971-06-30
Royal Antwerp,1998-03-03
Fortuna Sittard,1992-06-30
Standard Liège,1991-06-30
Royal Antwerp,1989-06-30
Olympiacos,1985-04-29
Club Brugge,1984-06-30
AZ '67,1982-06-30
Wattens-Wacker,1978-06-30
Hertha BSC,1977-06-30
PEC Zwolle,1974-06-30
RSC Anderlecht,1972-12-31
Sparta,1971-06-30
H. Zehlendorf,1970-06-30
Hertha BSC,1966-06-30
H. Zehlendorf,1964-06-30
Hamburger SV,1967-06-30
Hertha BSC,1965-03-09
SC Minerva 93,1955-06-30
Hertha BSC,1953-06-30
SC Westend 1901,1951-06-30
Hertha BSC,1963-06-30
SC Union 06,1951-06-30
Wacker Berlin,1967-06-30
BW Berlin,1965-06-30
SC Gatow,1963-06-30
Hertha BSC,1957-06-30
SC Union 06,1953-06-30
Saarbrücken,1954-06-30
Saar,1956-05-25
SV Wiesbaden,1952-06-30
Hertha BSC,1951-01-01
SG Dresden-F.,1950-06-30
FC St. Pauli,1947-12-31
Hertha BSC,1944-06-30
Schweinfurt 05,1937-06-30
Dresdner SC 1898,1933-06-30
FC Schalke 04,1932-06-30
Hamburger SV,1921-12-31
Bologna,1946-01-13
Lazio,1943-06-30
Hertha BSC,1926-06-30
Bor. Dortmund,2025-06-30
Bor. Dortmund,2022-06-30
Bor. Dortmund,2021-06-30
Bor. Dortmund,2020-12-28
Bor. Dortmund,2020-12-12
B. Dortmund U16,2013-07-15
B. Dortmund U17,2013-06-30
Bor. Dortmund,2013-06-30
RB Leipzig,2025-06-30
Bor. Dortmund,2022-05-20
Bor. M'gladbach,2021-06-30
RB Salzburg,2019-06-30
RB Salzburg YL,2017-06-30
AKA Salzb. U18,2017-06-30
AKA Salzb. U16,2015-06-30
Lok Leipzig,2013-06-30
FSV Mainz 05 II,2012-06-30
1.FSV Mainz 05,2009-08-18
Ferencváros,2021-12-13
Bor. Dortmund,2018-06-30
1.FC Köln,2017-12-03
Wiener Neustadt,2012-06-30
Grazer AK,2011-06-30
First Vienna FC,2010-04-26
First Vienna FC,2010-06-30
A. Vienna Res.,2005-05-05
SC Interwetten,2004-06-30
Persija Jakarta,2025-06-30
APOEL Nicosia,2019-12-09
Hannover 96,2019-06-30
Ferencváros,2018-08-21
Al-Hilal,2012-01-22
Genclerbirligi,2010-10-21
Bor. Dortmund,2008-06-30
Hamburger SV,2007-02-01
Hamburger SV II,2004-10-17
Hamburg U19,2002-12-28
U. A. E.,2022-02-11
U. A. E.,2019-12-04
Hamburger SV,2014-02-15
Feyenoord,2008-06-30
Bor. Dortmund,2006-12-18
Feyenoord,2004-06-30
Fortuna Sittard,2000-06-30
SV Meerssen,1997-09-02
Herderen Millen,1991-06-30
SV Meerssen,1990-06-30
MVV,1986-06-30
Bayern Munich,2016-07-10
VfB Stuttgart,2005-06-02
Bor. Dortmund,2004-06-30
Parma,2016-11-22
Spartak Moscow,2004-09-03
Shakhtar D.,2002-09-18
Besiktas,2001-03-06
AC Parma,1996-06-30
Reggina,1989-06-30
Vicenza Yth.,1987-06-30
FC Ingolstadt,2009-11-09
Al-Wahda FC,2006-10-11
Bor. M'gladbach,2006-05-14
M'gladbach II,2005-04-18
Bor. M'gladbach,2004-11-01
M'gladbach II,2004-10-27
B. Dortmund II,2004-06-30
Bor. Dortmund,2001-06-30
Urawa Reds,1998-01-31
E. Frankfurt,1995-04-22
FC Tirol,1994-05-15
F. Düsseldorf,1992-08-10
Bor. Dortmund,1991-06-30
Bay. Uerdingen,1987-12-01
Arm. Bielefeld,1983-06-30
1.FC Köln,1982-06-30
1.FC Viersen,1981-06-30
FC Luzern,1994-06-30
FC Zürich,1988-06-30
Grasshoppers,1986-11-02
Bor. Dortmund,1984-10-24
Bay. Uerdingen,1984-06-30
Hessen Kassel,1983-06-30
Grasshoppers,1982-06-30
BSC Young Boys,1980-06-30
FC Zürich,1978-06-30
Babelsberg 03,2002-06-30
1.FSV Mainz 05,1995-09-13
FC Schalke 04,1988-09-18
RW Essen,1987-12-20
Arm. Bielefeld,1986-10-28
Bor. Dortmund,1984-06-30
Karlsruher SC,1983-01-31
Arm. Bielefeld,1982-06-01
Union Solingen,1980-11-24
SK VOEST Linz,1976-03-09
Eisenstadt/Ritz.,1975-06-30
First Vienna FC,1973-06-30
Bor. Dortmund,1983-11-15
Bay. Uerdingen,1983-06-30
Bay. Uerdingen,1983-10-01
Arm. Bielefeld,1980-11-19
F. Düsseldorf,1979-10-09
F. Düsseldorf,1978-06-30
E. Frankfurt,1977-06-30
Godesberg 08,1975-06-30
F. Düsseldorf,1998-04-27
FC St. Pauli,1997-04-20
West Riffa,1994-06-30
E. Braunschweig,1993-06-30
West Riffa,1988-06-30
Bor. Dortmund,1983-10-23
E. Braunschweig,1983-04-23
Bor. Dortmund,1979-06-30
FC Schalke 04,1978-06-30
Schalke 04 U19,1977-12-20
FC Schalke 04,1977-12-20
Galatasaray,2009-05-27
Galatasaray,2008-04-08
Besiktas,1999-08-13
Galatasaray,1993-06-30
1.FC K'lautern,1992-06-30
El Ahly,1990-01-31
E. Frankfurt,1988-09-14
Bay. Uerdingen,1987-06-30
Arm. Bielefeld,1984-03-22
1.FC K'lautern,1982-06-30
Arm. Bielefeld,1978-06-30
FC Gütersloh,1976-06-30
Wattenscheid 09,1975-11-25
VfB Rheine,1990-06-30
VfL Reken,1988-06-30
RW Essen,1983-10-12
Bor. Dortmund,1981-06-30
B. Dortmund II,1979-06-30
Fort. Magdeburg,2015-03-22
Fortuna Köln,1987-03-31
Stuttg. Kickers,1984-10-20
Alem. Aachen,1982-11-07
Bay. Uerdingen,1981-06-30
1.FC Nuremberg,1978-05-19
Bor. Dortmund,1976-06-14
Besiktas,1975-06-30
Wuppertaler SV,1974-10-20
Hannover 96,1968-02-12
B. Neunkirchen,1966-06-30
SF Saarbrücken,1963-06-30
AC Bellinzona,1961-06-30
Fellows ZH,1959-06-30
SV Holzwickede,1984-03-06
SV Holzwickede,1978-06-30
Bor. Dortmund,1974-06-30
Bor. Dortmund,1973-06-30
RW Oberhausen,1987-06-30
RW Essen,1984-02-26
Lierse SK,1982-06-30
Lierse SK,1977-06-30
Wuppertaler SV,1975-06-30
Bor. Dortmund,1974-02-14
Lierse SK,1973-06-30
RW Essen,1972-06-30
Kansas City Sp.,1969-12-31
Sliema Wander.,1966-06-30
Bor. Dortmund,1973-04-29
1.FC Paderborn,1981-06-30
Erkenschwick,1980-04-21
Teutonia Lippstadt,1977-06-30
Pr. Münster,1975-09-03
Bonner SC,1975-06-30
Bor. Dortmund,1973-04-30
B. Dortmund II,1973-02-28
VfL Bochum,1970-06-30
VfL Bochum U19,1970-06-30
SC Herford,1980-06-30
Alem. Aachen,1976-01-20
1.FC Mülheim,1974-11-03
RW Essen,1973-09-27
Bor. Dortmund,1971-12-21
SW Essen,1970-06-30
Arm. Hannover,1966-06-30
SV Meppen,1964-06-30
Bor. Dortmund,1970-06-30
Bor. Dortmund,1971-07-27
Bor. Dortmund,1967-06-30
Bor. Dortmund,1968-12-16
VfR Mannheim,1968-04-18
Alem. Aachen,1965-10-18
FK Pirmasens,1962-06-30
1.FC Köln,1961-06-30
Bremerhaven 93,1959-06-30
Stuttg. Kickers,1958-06-30
Empor Rostock,1956-03-31
BSG Empor Lauter,1954-10-31
Lok Stendal,1953-06-30
BSG Lok Waren,1949-06-30
Grimmener SV,1948-06-30
Westfalia Herne,1976-12-20
Erkenschwick,1974-11-18
RW Oberhausen,1974-06-30
Eintr. Gelsenk.,1973-06-30
Bor. Dortmund,1968-04-10
VfR Mannheim,1959-09-30
SpVgg Fürth,1957-06-30
Bor. Dortmund,1955-06-30
1.FC Nuremberg,1951-06-30
VfR Mannheim,1949-12-31
Schwaben Augsb.,1948-10-15
FC 01 Bamberg,1947-04-30
1.FC Nuremberg,1945-09-30
VfR Mannheim,1940-06-30
FC Schalke 04,1938-07-31
SW Essen,1933-06-30
Pfeil Phönix,1929-06-30
FC 04 Singen,1958-06-30
B. Neunkirchen,1957-06-30
Stuttg. Kickers,1954-06-30
STV Horst-Em.,1953-06-30
Bor. Dortmund,1950-06-30
TuRa Bonn,1942-06-30
SSV Wuppertal,1953-05-31
SpVgg Fürth,1952-02-18
Pr. Münster,1951-03-31
B. Neunkirchen,1950-05-31
Bor. Dortmund,1948-06-30
Wolfenbüttel,1947-02-28
Bor. Lippstadt,1947-05-31
TSV Braunschweig,1934-05-31
Holstein Kiel,1933-05-31
DVV Coburg,1931-11-30
Erkenschwick,1947-06-30
Bor. Dortmund,1946-07-31
Röhlinghausen,1939-06-30
Bor. Dortmund,1936-05-31
Bor. Dortmund,1939-06-30
Fortuna Köln,1953-06-30
B. Neunkirchen,1952-06-30
FC Schalke 04,1949-06-30
VfR Köln 04,1948-06-30
Arm. Bielefeld,1947-06-30
Arm. Bielefeld,1940-06-30
Bor. Dortmund,1939-05-31
RW Oberhausen,1936-06-30
Lützenkirchen,1935-06-30
Mulhouse,1932-11-30
Sülz 07,1931-06-30
Erkenschwick,1951-11-30
Erkenschwick,1949-06-30
FC Schalke 04,1947-09-30
Erkenschwick,1945-06-30
Bor. Dortmund,1935-08-31
Foggia,1952-06-30
Alessandria,1951-06-30
Bologna,1949-12-12
Lucchese,1948-06-30
Lazio,1948-02-09
Cuneo,1944-06-30
Liguria,1943-06-30
AC Torino,1942-06-30
Ambrosiana-Inter,1940-06-30
Bari,1938-06-30
Torino,1936-06-30
Bari,1934-06-30
Foggia,1933-06-30
Palermo,1931-06-30
Torino,1929-11-11
Poli Timișoara,1927-06-30
VfB Mühlburg,1926-06-30
Admira Wien,1924-06-30
Bor. Dortmund,1923-12-31
Idar-Oberstein,1923-06-30
VfL Köln 1899,1922-06-30
Germ. Schwechat,1921-06-30
1.FC K'lautern,2024-06-30
Erzgebirge Aue,2021-05-28
Darmstadt 98,2019-02-18
FC Augsburg,2016-12-14
Darmstadt 98,2016-06-30
Stuttg. Kickers,2012-11-19
FC Wilferdingen,2008-06-30
ASV Durlach,2007-01-10
1.FC K'lautern,2022-05-10
Würzb. Kickers,2020-11-09
E. Braunschweig,2020-07-07
Pr. Münster,2019-06-30
Viktoria Köln,2017-12-11
Rot Weiss Ahlen,2016-05-18
Rot Weiss Ahlen,2013-06-30
RW Ahlen U19,2012-06-30
Burgsteinfurt,2012-01-08
Neuchâtel Xamax,2023-04-23
1.FC K'lautern,2021-01-30
FC Ingolstadt,2020-03-09
Arm. Bielefeld,2018-12-10
FC Thun,2017-03-19
FC St. Gallen,2015-09-01
FC Aarau,2009-10-12
FC Aarau,2009-06-17
FC Thun,2007-06-05
FC Thun,2007-03-06
1.FC Düren,2025-06-30
1.FC K'lautern,2020-09-29
1.FC Nuremberg,2019-06-30
1.FC Nuremberg,2019-02-27
1.FC Nuremberg,2019-02-11
1.FC Köln U19,2017-06-30
1.FC Köln U17,2013-06-30
1.FC Köln U17,2010-10-24
1.FC K'lautern,2019-09-16
Sonnenhof-Gr.,2018-10-05
Mainz 05 Yth.,2017-06-30
Elversberg U17,2016-01-03
SC Hauenstein,2015-04-19
Idar-Oberstein,2013-06-30
VfL Wolfsburg,2021-10-26
VfL Wolfsburg,2022-06-30
1.FC K'lautern,2018-12-01
Hannover 96,2015-12-21
FC St. Pauli,2013-11-06
Bor. M'gladbach,2011-02-13
Arm. Bielefeld,2009-05-17
Alem. Aachen,2007-05-19
Bor. M'gladbach,2003-09-22
Jeunesse Esch,2022-06-14
Hesperange,2020-10-14
CS Fola Esch,2020-06-30
1.FC K'lautern,2018-01-31
CS Fola Esch,2017-09-26
CS Fola Esch,2012-06-30
CS Fola Esch,2010-12-22
K'lautern U17,2018-01-11
1.FC K'lautern,2017-09-26
1.FC K'lautern,2019-06-30
FC Augsburg,2015-06-30
FC Augsburg,2012-10-08
TSV Aindling,2011-06-30
SSV Ulm 1846,2009-09-23
TSV Aindling,2009-06-30
FC Ingolstadt,2007-10-01
TSV Aindling,2005-11-30
W. Bremen II,2023-05-16
FC Wil 1900,2019-03-31
1.FC K'lautern,2016-05-20
K'lautern II,2015-09-22
Gr. Fürth II,2012-12-31
Gr. Fürth Yth.,2011-06-30
Gr. Fürth Yth.,2006-06-30
VfB Pößneck,2002-06-30
K'lautern II,2021-09-02
K'lautern U19,2021-06-30
Saarbrücken,2020-06-30
Saarbrücken U19,2020-06-30
K'lautern II,2016-06-30
1.FC K'lautern,2013-09-15
1.FC K'lautern,2013-08-28
K'lautern II,2009-06-30
FC Zürich,2022-09-21
Sturm Graz,2017-12-31
Sturm Graz,2012-04-12
Sturm Graz II,2006-06-30
Sturm Graz,2003-06-30
Sturm Graz,2002-09-13
Sturm Graz II,2002-06-30
CSKA 1948,2021-06-14
CSKA 1948,2021-03-23
Etar,2019-05-31
Litex Lovech,2015-07-10
Chern. Burgas,2010-12-07
Grasshoppers,2007-05-21
VFC Plauen,2005-12-31
VfB Stuttgart,2005-06-30
Melbourne,2020-01-15
Adelaide United,2019-04-30
F. Düsseldorf,2016-03-13
FC Ingolstadt,2013-09-30
TSG Hoffenheim,2013-04-01
1.FC K'lautern,2012-03-19
1860 Munich,2009-02-23
1860 München II,2007-03-17
SC Pfullendorf,2006-04-30
SC Pfullendorf,2005-06-30
Hansa Rostock,2025-06-30
SV Sandhausen,2023-02-19
Karlsruher SC,2020-02-02
1.FC Nuremberg,2017-03-07
SV Sandhausen,2016-06-30
Rot-Weiß Erfurt,2013-05-31
K'lautern II,2012-09-09
1.FC K'lautern,2009-06-17
K'lautern II,2009-05-03
Wormatia Worms,2006-12-23
Rot-Weiß Erfurt,2005-06-30
Rot-Weiß Erfurt,2003-06-30
Rot-Weiß Erfurt,2003-04-10
Rosenborg,2023-06-16
HamKam,2021-12-31
Start,2019-03-28
Vålerenga,2017-02-03
Vålerenga,2016-12-31
Aalesund,2012-11-26
Molde ,2008-09-05
1.FC K'lautern,2008-02-09
Lierse SK,2007-06-25
Vålerenga,2006-08-20
Vålerenga,2004-12-31
1.FC K'lautern,2007-06-30
1.FC K'lautern,2007-04-11
Hansa Rostock,2005-06-30
Hansa Rostock,2003-10-14
Hansa Rostock,2003-10-06
Lok Leipzig,2020-06-30
Lok Leipzig,2019-12-07
1.FC Nuremberg,2015-09-23
Hansa Rostock,2012-09-03
K. Offenbach,2011-02-26
Skoda Xanthi,2009-09-15
1.FC K'lautern,2007-04-10
1.FC Nuremberg,2005-10-31
VfL Wolfsburg,2003-03-04
Stuttg. Kickers,1998-02-18
Arm. Bielefeld,2022-12-31
FC Ingolstadt,2019-06-04
SH Shenhua,2018-12-24
FC Ingolstadt,2017-10-11
FC Ingolstadt,2016-11-11
FC Ingolstadt,2016-11-07
FC Ingolstadt,2013-10-06
FC Ingolstadt,2013-09-29
Aston Villa,2013-01-31
Esteghlal FC ,2012-06-30
1.FC Köln,2010-10-24
Saarbrücken,2007-01-31
Saarbrücken,2006-10-30
1.FC K'lautern,2005-11-19
B. Dortmund II,1994-06-30
FC Gütersloh,1988-12-31
K'lautern II,2020-06-30
E. Frankfurt,2016-07-06
Wehen Wiesbaden,2010-02-08
SV Wehen II,2009-01-22
1.FC K'lautern,2005-06-30
K'lautern II,2005-04-05
Darmstadt 98,2003-04-09
Westfalia Herne,2002-04-22
SV Sodingen,1998-06-30
RB Salzburg,2006-05-19
RB Salzburg,2006-05-12
1.FC K'lautern,2005-04-05
Hamburger SV,2003-10-22
FC Tirol,2001-10-04
FC Tirol,1998-12-31
APOEL Nicosia,1997-11-30
Skoda Xanthi,1997-02-02
VfB Mödling,1994-12-31
FC Zürich,1994-04-06
FC St. Gallen,1991-10-01
Grasshoppers,1988-06-30
Grasshoppers,1986-10-31
Al-Jazira,2015-06-16
Lekhwiya,2014-05-09
Al-Hilal,2010-11-13
Marseille,2009-06-30
Galatasaray,2007-05-28
VfL Wolfsburg,2005-05-28
1.FC K'lautern,2004-02-02
PSV Eindhoven,2002-05-31
Club Brugge,1999-06-30
Lierse SK,1997-06-30
RC Liège,1994-06-30
RW Oberhausen,2012-09-16
Karlsruher SC,2010-11-01
